trial,n_records,payload_max,build_index_ms,rewrite_sorted_ms,total_time_ms
1,10000,8,1.051,0.651,77.173,94.127
1,10000,16,1.136,0.671,63.977,86.754
1,10000,32,1.310,0.733,83.011,101.223
1,10000,64,0.430,0.690,84.850,167.915
1,10000,128,0.491,0.686,119.738,224.954
1,100000,8,4.295,8.187,123.588,157.289
1,100000,16,4.829,8.236,108.726,137.056
1,100000,32,6.030,8.231,112.892,145.518
1,100000,64,2.042,7.732,184.237,438.907
1,100000,128,12.900,8.299,276.876,317.110
1,1000000,8,35.870,93.504,577.460,728.606
1,1000000,16,42.853,95.055,621.247,783.724
1,1000000,32,54.716,94.033,831.224,1008.109
1,1000000,64,20.340,93.156,1155.271,2751.842
1,1000000,128,27.132,93.071,1964.818,4610.847
1,10000000,8,1472.671,1082.010,4298.920,6957.207
1,10000000,16,130.444,1080.812,5180.360,12939.522
1,10000000,32,149.747,1082.170,6759.585,16543.707
1,10000000,64,187.162,1081.345,9241.669,23125.914
1,10000000,128,257.697,1081.573,14436.365,36641.653
1,100000000,8,16348.378,12464.465,42203.567,71852.178
1,100000000,16,1270.575,12452.005,31785.373,248840.017
1,100000000,32,1471.906,12395.717,251043.099,606627.216
1,100000000,64,1846.884,12455.195,270521.981,619735.605
